,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_n_epochs,state
0,0,-2097.205311,2025-06-11 05:51:26.567731,2025-06-11 05:53:28.063578,0 days 00:02:01.495847,0.0004362073290622212,0.9416542747459529,0.9822417967305785,0.0004056092672924659,5,COMPLETE
1,1,-1032.7855462,2025-06-11 05:53:28.065505,2025-06-11 05:55:26.715639,0 days 00:01:58.650134,0.001305700449127342,0.9598351711489317,0.9984882949851415,0.00023721479583558506,5,COMPLETE
2,2,-255.49886980000002,2025-06-11 05:55:26.717283,2025-06-11 05:57:43.941027,0 days 00:02:17.223744,0.0003355706198882117,0.9233007367870031,0.9917843528838919,0.0004621068652578222,10,COMPLETE
3,3,-1354.5676334000002,2025-06-11 05:57:43.942329,2025-06-11 05:59:45.250156,0 days 00:02:01.307827,0.0089748796298171,0.9213832653495975,0.99295592016852,3.9581553095977214e-05,10,COMPLETE
4,4,-1277.8834283,2025-06-11 05:59:45.251527,2025-06-11 06:01:26.354140,0 days 00:01:41.102613,0.002938684462559384,0.9086423993631,0.9861018560160707,2.629360761851404e-05,5,COMPLETE
5,5,-78.2844884,2025-06-11 06:01:26.355441,2025-06-11 06:03:59.071566,0 days 00:02:32.716125,0.00010849908150606895,0.9793609860706702,0.9919834438859234,0.0009919674293988163,10,COMPLETE
6,6,-21.0279394,2025-06-11 06:03:59.072792,2025-06-11 06:06:09.523739,0 days 00:02:10.450947,0.00012252147334585974,0.97999441096037,0.9974286329300585,0.0009972038765509307,8,COMPLETE
7,7,-1725.4604392,2025-06-11 06:06:09.525056,2025-06-11 06:07:04.343204,0 days 00:00:54.818148,0.00010445904903661405,0.9795568002207403,0.9985494300363646,0.0001032930038167833,8,PRUNED
8,8,-1628.3614293,2025-06-11 06:07:04.344187,2025-06-11 06:08:55.371690,0 days 00:01:51.027503,0.0003303139658176826,0.9526940506452738,0.9956043682550962,1.2490135760495658e-05,7,COMPLETE
9,9,-1111.1254620000002,2025-06-11 06:08:55.373219,2025-06-11 06:09:50.696595,0 days 00:00:55.323376,0.0010485581538576137,0.9631101504974385,0.9876092337345254,0.00012051298755792773,8,PRUNED
10,10,-3964.7343874999997,2025-06-11 06:09:50.697574,2025-06-11 06:10:51.811923,0 days 00:01:01.114349,0.0031911721648151784,0.9385196002245206,0.9805574698522277,0.0008122913844010236,7,PRUNED
11,11,-162.6508409,2025-06-11 06:10:51.812903,2025-06-11 06:13:05.573924,0 days 00:02:13.761021,0.00010584532733177409,0.9799256502037693,0.9943892356551463,0.0009993300233115396,9,COMPLETE
12,12,-3066.5868262000004,2025-06-11 06:13:05.575135,2025-06-11 06:14:12.205370,0 days 00:01:06.630235,0.00021502299256248304,0.9709436806001218,0.9900894218709119,0.0002869233042216233,9,PRUNED
13,13,,2025-06-11 06:14:12.206311,2025-06-11 06:16:17.303220,0 days 00:02:05.096909,0.00017212746741017635,0.9668839522309384,0.9963667049781366,0.0006628075074961504,7,FAIL
